date	co	local	party	score
1997/12	15	서울	여당	2,394,309
1997/12	15	서울	야당	2,627,308
1997/12	15	서울	기타	833,156
1997/12	15	인천	여당	470,560
1997/12	15	인천	야당	497,839
1997/12	15	인천	기타	324,212
1997/12	15	경기	여당	1,612,108
1997/12	15	경기	야당	1,781,577
1997/12	15	경기	기타	1,141,839
1997/12	15	강원	여당	358,921
1997/12	15	강원	야당	197,438
1997/12	15	강원	기타	274,584
1997/12	15	대전	여당	199,266
1997/12	15	대전	야당	307,493
1997/12	15	대전	기타	176,134
1997/12	15	충남	여당	235,457
1997/12	15	충남	야당	483,093
1997/12	15	충남	기타	282,648
1997/12	15	충북	여당	243,310
1997/12	15	충북	야당	295,666
1997/12	15	충북	기타	250,840
1997/12	15	광주	여당	13,294
1997/12	15	광주	야당	754,159
1997/12	15	광주	기타	7,746
1997/12	15	전남	여당	41,534
1997/12	15	전남	야당	1,231,726
1997/12	15	전남	기타	28,576
1997/12	15	전북	여당	53,124
1997/12	15	전북	야당	1,078,957
1997/12	15	전북	기타	37,108
1997/12	15	부산	여당	1,117,069
1997/12	15	부산	야당	320,178
1997/12	15	부산	기타	657,159
1997/12	15	울산	여당	268,998
1997/12	15	울산	야당	80,751
1997/12	15	울산	기타	174,014
1997/12	15	대구	여당	965,907
1997/12	15	대구	야당	166,576
1997/12	15	대구	기타	196,605
1997/12	15	경남	여당	908,808
1997/12	15	경남	야당	182,102
1997/12	15	경남	기타	557,104
1997/12	15	경북	여당	953,360
1997/12	15	경북	야당	210,403
1997/12	15	경북	기타	375,845
1997/12	15	제주	여당	100,103
1997/12	15	제주	야당	111,009
1997/12	15	제주	기타	62,465
