date	co	TS	local	RPR	OPR	total
2012/12	18	75.8	서울	3,024,572	3,227,639	6,276,699
2012/12	18	75.8	인천	852,600	794,213	1,652,966
2012/12	18	75.8	경기	3,528,915	3,442,084	6,996,723
2012/12	18	75.8	강원	562,876	340,870	908,254
2012/12	18	75.8	세종	33,587	30,787	64,697
2012/12	18	75.8	대전	450,576	448,310	901,878
2012/12	18	75.8	충남	658,928	497,630	1,162,936
2012/12	18	75.8	충북	518,442	398,907	922,053
2012/12	18	75.8	광주	69,574	823,737	895,586
2012/12	18	75.8	전남	116,296	1,038,347	1,162,959
2012/12	18	75.8	전북	150,315	980,322	1,136,575
2012/12	18	75.8	부산	1,324,159	882,511	2,213,405
2012/12	18	75.8	울산	413,977	275,451	692,433
2012/12	18	75.8	경남	1,259,174	724,896	1,994,771
2012/12	18	75.8	대구	1,267,789	309,034	1,581,840
2012/12	18	75.8	경북	1,375,164	316,659	1,701,511
2012/12	18	75.8	제주	166,184	161,235	329,335
2012/12	18	75.8	재외국민	67,319	89,192	158,196
