date	co	TS	local	RPR	OPR	total
1992/12	14	81.9	서울	2,167,298	2,246,636	5,951,777
1992/12	14	81.9	인천	397,361	338,538	1,066,288
1992/12	14	81.9	경기	1,254,025	1,103,498	3,451,395
1992/12	14	81.9	강원	340,528	127,265	820,255
1992/12	14	81.9	대전	202,137	165,067	574,403
1992/12	14	81.9	충남	351,789	271,921	952,454
1992/12	14	81.9	충북	281,678	191,743	736,171
1992/12	14	81.9	광주	14,504	652,337	680,600
1992/12	14	81.9	전남	53,360	1,170,398	1,270,023
1992/12	14	81.9	전북	63,175	991,483	1,112,350
1992/12	14	81.9	부산	1,551,473	265,055	2,115,389
1992/12	14	81.9	경남	1,514,043	193,373	2,093,590
1992/12	14	81.9	대구	690,245	90,641	1,158,193
1992/12	14	81.9	경북	991,424	147,440	1,531,637
1992/12	14	81.9	제주	104,292	85,889	260,884
