date	co	TS	local	RPR	OPR	total
1987/12	13	89.2	서울	1,682,824	1,637,347	5,618,729
1987/12	13	89.2	인천	326,186	248,604	828,860
1987/12	13	89.2	경기	1,204,235	800,274	2,905,323
1987/12	13	89.2	강원	546,569	240,585	921,214
1987/12	13	89.2	충남	402,491	246,527	1,534,906
1987/12	13	89.2	충북	355,222	213,851	757,457
1987/12	13	89.2	광주	22,943	2,471	476,153
1987/12	13	89.2	전남	119,229	16,826	1,459,870
1987/12	13	89.2	전북	160,760	17,130	1,136,975
1987/12	13	89.2	부산	640,622	1,117,01	1,995,317
1987/12	13	89.2	경남	792,757	987,042	1,925,412
1987/12	13	89.2	대구	800,363	274,880	1,132,078
1987/12	13	89.2	경북	1,108,035	470,189	1,669,019
1987/12	13	89.2	제주	120,502	64,844	242,098
